Date,Price,Open,High,Low,Vol.,Change %
08/01/2003,9415.82,9232.68,9499.97,8997.11,3.81B,1.97%
07/01/2003,9233.8,8983.66,9361.4,8871.2,4.91B,2.76%
06/01/2003,8985.44,8851.45,9352.77,8851.45,4.99B,1.53%
05/01/2003,8850.26,8478.48,8868.33,8340.23,4.87B,4.37%
04/01/2003,8480.09,7992.83,8559.77,7979.69,5.13B,6.11%
03/01/2003,7992.13,7890.24,8522.18,7416.64,5.62B,1.28%
02/01/2003,7891.08,8053.74,8152.53,7628.99,4.42B,-2.02%
01/01/2003,8053.81,8342.38,8869.29,7917.16,5.43B,-3.45%
12/01/2002,8341.63,8902.95,9043.37,8242.91,4.61B,-6.23%
11/01/2002,8896.09,8395.64,8950.33,8298.68,5.34B,5.94%
10/01/2002,8397.03,7593.04,8558.63,7197.49,7.50B,10.60%
09/01/2002,7591.93,8659.27,8726.9,7460.78,5.60B,-12.37%
08/01/2002,8663.5,8732.58,9077.01,8030.82,5.59B,-0.84%
07/01/2002,8736.59,9239.25,9410.38,7532.66,7.66B,-5.48%
06/01/2002,9243.26,9923.94,9986.49,8926.57,5.80B,-6.87%
04/01/2002,9946.22,10402.07,10402.07,9811.57,5.11B,-4.40%
03/01/2002,10403.94,10111.04,10673.1,10111.04,4.56B,2.95%
02/01/2002,10106.13,9923.04,10255.24,9580.32,4.65B,1.88%
01/01/2002,9920,10021.71,10300.15,9529.46,4.96B,-1.01%
12/01/2001,10021.5,9848.93,10184.45,9703.9,4.27B,1.73%
11/01/2001,9851.56,9087.45,9992.79,9014.46,4.66B,8.56%
10/01/2001,9075.14,8845.97,9598.17,8732.14,5.72B,2.57%
09/01/2001,8847.56,9946.98,10182.38,8062.34,5.56B,-11.08%
08/01/2001,9949.75,10527.38,10609.65,9869.14,4.08B,-5.45%
07/01/2001,10522.81,10504.95,10679.12,10120.89,4.61B,0.19%
06/01/2001,10502.4,10913.57,11196.53,10394.72,4.89B,-3.75%
05/01/2001,10911.94,10734.05,11350.05,10673.22,4.52B,1.65%
04/01/2001,10734.97,9877.16,10906.41,9375.72,5.18B,8.67%
03/01/2001,9878.78,10493.25,10859.5,9106.54,6.04B,-5.87%
02/01/2001,10495.28,10884.82,11035.14,10294.01,4.16B,-3.60%
01/01/2001,10887.36,10790.92,11028,10468.04,5.83B,0.93%
12/01/2000,10786.85,10416.76,10917.68,10299.21,5.21B,3.58%
11/01/2000,10414.49,10966.21,11006.5,10292.39,4.68B,-5.07%
10/01/2000,10971.14,10659.06,10995.41,9654.64,6.26B,3.01%
09/01/2000,10650.92,11219.54,11401.19,10567.32,4.64B,-5.03%
08/01/2000,11215.1,10523.81,11319.06,10516.76,3.62B,6.59%
07/01/2000,10521.98,10450.36,10874.63,10393.09,3.25B,0.71%
06/01/2000,10447.9,10532.27,10863,10335.46,3.79B,-0.71%
05/01/2000,10522.34,10749.42,10971.24,10258.81,3.82B,-1.97%
04/01/2000,10733.92,10863.28,11425.45,10201.53,4.05B,-1.72%
03/01/2000,10921.93,10128.11,11234.65,9731.81,4.75B,7.84%
02/01/2000,10128.31,10937.74,11118.93,9836.06,3.66B,-7.42%
01/01/2000,10940.54,11501.85,11750.28,10701.64,3.83B,-4.84%
