Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,75.379997,84.290001,73.459999,82.760002,68.657112,103865800
2016-08-01,82.760002,84.730003,80.919998,81.949997,68.640083,74539900
2016-09-01,81.589996,88.980003,79.930000,88.769997,74.352402,99198200
2016-10-01,88.230003,89.870003,82.709999,83.459999,69.904839,105556900
2016-11-01,83.470001,96.440002,80.330002,95.559998,80.746140,121009500
2016-12-01,96.000000,97.400002,91.000000,92.739998,78.363297,88839100
2017-01-01,94.000000,99.459999,92.199997,95.660004,80.830643,94104300
2017-02-01,95.809998,99.199997,92.110001,96.660004,82.353294,85107800
2017-03-01,98.199997,98.970001,90.339996,92.760002,79.030548,142419000
2017-04-01,92.430000,105.980003,91.000000,102.260002,87.124466,111612100
2017-05-01,102.650002,105.940002,97.739998,105.430000,90.571381,103921000
2017-06-01,105.769997,108.180000,102.300003,107.459999,92.315262,105087500
2017-07-01,106.510002,114.900002,105.110001,113.949997,97.890617,86813400
2017-08-01,114.269997,118.830002,112.089996,117.489998,101.660278,66522800
2017-09-01,117.489998,125.550003,116.500000,124.709999,107.907516,64132400
2017-10-01,124.400002,140.440002,123.949997,135.800003,117.503311,92524700
2017-11-01,135.669998,141.330002,133.809998,141.149994,122.860992,61119100
2017-12-01,141.600006,158.649994,138.380005,157.580002,137.162125,74722200
2018-01-01,158.300003,173.240005,155.399994,162.779999,141.688370,134897200
2018-02-01,161.240005,164.600006,142.850006,154.630005,135.219055,126876000
2018-03-01,153.669998,159.339996,143.630005,147.380005,128.879211,125301400
2018-04-01,146.440002,161.100006,138.050003,144.360001,126.238258,118197600
2018-05-01,143.080002,161.600006,138.149994,151.910004,133.509338,91621300
2018-06-01,153.300003,159.190002,132.679993,135.669998,119.236473,90552600
2018-07-01,133.800003,146.699997,133.199997,143.800003,126.381691,98578900
2018-08-01,142.970001,143.770004,129.429993,138.850006,122.779533,96097600
2018-09-01,137.860001,157.720001,136.929993,152.490005,134.840836,80648700
2018-10-01,153.610001,159.369995,112.059998,121.320000,107.278450,181855500
2018-11-01,122.589996,135.970001,120.940002,135.669998,120.732132,126414800
2018-12-01,141.880005,142.410004,116.089996,127.070000,113.079056,110482700
2019-01-01,124.029999,137.720001,120.440002,133.160004,118.498528,119268900
2019-02-01,133.029999,142.550003,126.550003,137.339996,123.004578,78957600
2019-03-01,138.860001,139.770004,129.229996,135.490005,121.347649,81109400
2019-04-01,137.690002,144.770004,134.089996,139.419998,124.867447,83893300
2019-05-01,139.580002,139.929993,118.739998,119.809998,107.954742,107906500
2019-06-01,119.910004,137.270004,119.760002,136.289993,122.804024,80059200
2019-07-01,139.300003,140.619995,128.449997,131.669998,118.641190,90354900
2019-08-01,131.639999,133.190002,111.750000,119.000000,108.049934,89144500
2019-09-01,117.900002,133.990005,115.400002,126.309998,114.687302,79539300
2019-10-01,127.400002,141.630005,117.250000,137.800003,125.120033,99891300
2019-11-01,139.369995,148.470001,139.229996,144.729996,132.445236,63786700
2019-12-01,145.199997,148.929993,138.559998,147.679993,135.144852,54988100
2020-01-01,149.000000,150.550003,130.539993,131.350006,120.200974,64504300
2020-02-01,131.440002,140.500000,119.029999,124.239998,114.491951,73414400
2020-03-01,125.050003,129.559998,87.500000,116.040001,106.935349,157650200
2020-04-01,112.089996,129.600006,108.599998,116.379997,107.248657,116563800
2020-05-01,114.000000,124.830002,100.220001,120.129997,111.720795,84708000
2020-06-01,119.860001,139.940002,117.610001,126.500000,117.644890,84155400
2020-07-01,129.380005,141.080002,125.120003,132.880005,123.578316,66949200
2020-08-01,132.300003,146.199997,130.669998,142.309998,133.339386,57363600
2020-09-01,141.669998,156.250000,140.910004,149.149994,139.748215,74833100
2020-10-01,149.919998,171.259995,143.750000,157.050003,147.150223,75741300
2020-11-01,159.199997,178.320007,155.229996,173.589996,163.641083,67278800
2020-12-01,175.389999,183.809998,172.279999,182.020004,171.587921,57893500
2021-01-01,183.000000,200.169998,179.339996,182.839996,172.360931,64761800
2021-02-01,185.960007,226.669998,182.020004,215.880005,204.590088,63031400
2021-03-01,219.309998,237.779999,208.470001,231.869995,219.743835,81841600
2021-04-01,231.300003,236.679993,223.199997,228.110001,216.180496,54831000
2021-05-01,230.000000,245.779999,225.350006,241.080002,229.504944,59613100
2021-06-01,244.009995,246.690002,205.500000,217.630005,207.180847,103303100
2021-07-01,219.160004,219.789993,199.229996,206.750000,196.823242,68075000
2021-08-01,208.000000,223.759995,203.210007,210.869995,201.822723,72473000
2021-09-01,210.869995,212.949997,186.979996,191.970001,183.733612,77956500
2021-10-01,192.899994,209.750000,187.720001,204.009995,195.257050,72026300
2021-11-01,204.289993,216.470001,191.550003,193.350006,186.076233,71055500
2021-12-01,197.580002,208.910004,191.360001,206.740005,198.962494,57745000
2022-01-01,207.330002,230.429993,194.679993,201.559998,193.977341,89950100
2022-02-01,200.800003,206.750000,179.669998,187.580002,181.399231,67658500
2022-03-01,187.770004,227.050003,180.639999,222.820007,215.478073,93122200
2022-04-01,224.350006,237.899994,202.000000,210.539993,203.602676,67152000
2022-05-01,210.000000,223.289993,194.039993,215.850006,209.738770,61623500
2022-06-01,218.460007,232.350006,176.020004,178.759995,173.698868,71106800
2022-07-01,179.309998,199.490005,167.080002,198.250000,192.637054,54588100
2022-08-01,195.080002,200.369995,181.119995,184.710007,180.730499,59537400
2022-09-01,182.270004,192.699997,160.600006,164.080002,160.544952,59363000
2022-10-01,167.429993,219.500000,166.050003,216.460007,211.796448,69677900
2022-11-01,218.630005,239.850006,211.360001,236.410004,232.864441,69076700
2022-12-01,236.899994,245.050003,225.559998,239.559998,235.967178,60974600
